번호,관광지명,주소,지도 x좌표,지도 y좌표,전화번호,홈페이지주소(URL),등록일,지역,1차분류,2차분류,담당기관
375,농월정,경상남도 함양군 안의면 농월정길 9-13,35.62389682,127.7784448,055-960-5555,,2008-06-19,함양군,자연관광,산과계곡,함양군 문화관광과
376,거창 수승대,경상남도 거창군 위천면 은하리길 2,35.76092327,127.8336769,055-940-8530,https://www.geochang.go.kr/ssd/Index.do,2008-06-02,거창군,자연관광,산과계곡,거창군
377,힐튼남해골프앤스파리조트,남해군 남면 남서대로1179번길 40-109,34.77939,127.8466,055-860-8603,http://www.hiltonnamhae.com/,2008-05-01,남해군,레저관광,골프,남해군 문화관광과
378,에덴밸리스키리조트,양산시 원동면 어실로 1206,35.42484,128.9934,055-392-3233,http://www.edenvalley.co.kr,2008-02-15,양산시,레저관광,스키장,양산시 문화관광과
379,통영수산과학관,통영시 산양읍 미남리 682-1,34.76424,128.4073,055-650-4613,,2009-11-23,통영시,문화관광,박물관과문화채널,통영시 관광과
380,대산미술관,창원시 의창구 대산면 유등로387번길,35.34555,128.7446,055-225-3691,http://www.daesanart.com,2007-08-11,창원시,미분류,미분류,창원시 관광진흥과
381,섬진강레져클럽,하동군 화개면 중터길,35.18393,127.627,055-880-2380,http://www.sjklc.co.kr,2007-05-04,하동군,레저관광,레프팅과활동,하동군 문화관광과
382,한려해상국립공원,통영시 도남로 117,34.75847,127.976,055-650-4613,http://www.knps.or.kr/hallyo/,2006-06-27,통영시,자연관광,섬과바다,통영시 관광과
383,자연과 사람은 한 몸,양산시 하북면 녹동길 6-120,35.45017,129.0803,055-392-3233,,2006-05-11,양산시,문화관광,문화체험장,양산시 문화관광과
384,용화사석조여래좌상,양산시 물금읍 물금리 596,35.31633,128.9753,055-392-3233,,2006-04-18,양산시,문화관광,기념물,양산시 문화관광과
385,웅상농청장원놀이,양산시 명동 437-2,35.39983,129.1667,055-392-3233,,2006-04-17,양산시,문화관광,기념물,양산시 문화관광과
386,가야진용신제,양산시 원동면 천태로,35.37992,128.9009,055-392-3233,,2006-04-17,양산시,문화관광,기념물,양산시 문화관광과
387,북정리고분군,양산시 북정동,35.36201,129.0498,055-392-3233,,2006-04-17,양산시,미분류,미분류,양산시 문화관광과
388,북부동산성,북부동산성(양산시 북부동),35.33207,129.0418,055-392-3233,,2006-04-17,양산시,문화관광,사찰과건축물 ,양산시 문화관광과
389,중부동고분군,양산시 중부동,35.33926,129.0306,055-392-3233,,2006-04-17,양산시,미분류,미분류,양산시 문화관광과
390,통도사영산전영산회상도,양산시 하북면 통도사로 108,35.48795,129.0643,055-392-3233,,2006-04-17,양산시,문화관광,기념물,양산시 문화관광과
391,통도사봉발탑,양산시 하북면 통도사로 108,35.48795,129.0643,055-392-3233,,2006-04-17,양산시,문화관광,기념물,양산시 문화관광과
392,통도사국장생석표,양산시 하북면 통도사로 108,35.48794,129.0644,055-392-3233,,2006-04-17,양산시,문화관광,기념물,양산시 문화관광과
393,미타암석아미타불입상,양산시 주진로 379-61,35.40613,129.1282,055-392-3233,,2006-04-17,양산시,미분류,미분류,양산시 문화관광과
394,신흥사대광전,양산시 원동면 영포리 268,35.42641,128.9508,055-392-3233,,2006-04-17,양산시,문화관광,사찰과건축물 ,양산시 문화관광과
395,통도사 화엄탱,양산시 하북면 통도사로 108,35.48795,129.0643,055-392-3233,,2006-04-17,양산시,문화관광,기념물,양산시 문화관광과
396,통도사 석가여래괘불탱,양산시 하북면 통도사로 108,35.48795,129.0643,055-392-3233,,2006-04-17,양산시,문화관광,기념물,양산시 문화관광과
397,천문도,양산시 하북면 통도사로 108,35.48795,129.0643,055-392-3233,,2006-04-17,양산시,문화관광,기념물,양산시 문화관광과
398,통도사동종,양산시 하북면 통도사로 108,35.48795,129.0643,055-392-3233,,2006-04-17,양산시,문화관광,기념물,양산시 문화관광과
399,묘법연화경권제2,양산시 하북면 통도사로 108,35.48795,129.0643,055-392-3233,,2006-04-17,양산시,문화관광,기념물,양산시 문화관광과
400,통도사대광명전삼신불도,양산시 하북면 통도사로 108,35.48795,129.0643,055-392-3233,,2006-04-17,양산시,문화관광,기념물,양산시 문화관광과
401,통도사영산전팔상도,양산시 하북면 통도사로 108,35.48795,129.0643,055-392-3233,,2006-04-17,양산시,문화관광,기념물,양산시 문화관광과
402,양산이씨종손가소장고문서,양산시 하북면 삼수리,35.47165,129.0743,055-392-3233,,2006-04-17,양산시,문화관광,기념물,양산시 문화관광과
403,감지금니대방광불화엄경권46,양산시 하북면 통도사로 108,35.48795,129.0643,055-392-3233,,2006-04-17,양산시,문화관광,기념물,양산시 문화관광과
404,문수사리보살최상승무생계경,양산시 하북면 통도사로 108,35.48795,129.0643,055-392-3233,,2006-04-17,양산시,문화관광,기념물,양산시 문화관광과
405,통도사은입사동제향로,양산시 하북면 통도사로 108,35.48795,129.0643,055-392-3233,,2006-04-17,양산시,문화관광,기념물,양산시 문화관광과
406,통도사 괘불탱,양산시 하북면 통도사로 108,35.48795,129.0643,055-392-3233,,2006-04-17,양산시,문화관광,기념물,양산시 문화관광과
407,통도사대웅전 및 금강계단,양산시 하북면 통도사로 108,35.48795,129.0643,055-392-3233,,2006-04-17,양산시,미분류,미분류,양산시 문화관광과
408,통도환타지아,양산시 하북면 통도7길 68,35.49855,129.0832,055-392-3233,http://www.fantasia.co.kr,2006-04-01,양산시,문화관광,공원과유원지,양산시 문화관광과
409,남해 노량 유람선코스,경상남도 남해군 설천면 노량로 177,34.9413182,127.8728827,1577-6951,https://www.namhaecruise.co.kr,2006-03-31,남해군,자연관광,섬과바다,남해군
410,지리산 빨치산 토벌전시관 ,산청군 시천면 중산리 519-2,35.29224,127.7541,,,2006-03-14,산청군,미분류,미분류,
411,해인사 성보박물관 ,합천군 가야면 치인리 산21-1,,,,,2006-03-14,합천군,미분류,미분류,
412,대우조선해양㈜ ,거제시 아주동 1 ,,,,,2006-03-14,거제시,미분류,미분류,
413,전승기념관(고성) ,고성군 회화면 당항리 57번지,,,,,2006-03-14,고성군,미분류,미분류,
414,송충사(통영) ,고성군 회화면 당항리 57번지,,,,,2006-03-14,고성군,미분류,미분류,
415,마산 구산면 일주도로 ,창원시 마산합포구 구산면,,,,,2006-03-14,창원시,미분류,미분류,
416,진해김치 ,창원시 진해구 죽곡동 184 ,,,,,2006-03-14,창원시,미분류,미분류,
417,하동19번국도 ,하동군,,,,,2006-03-14,하동군,미분류,미분류,
418,산양일주도로,통영시 산양읍 미륵도,,,,,2006-03-14,통영시,미분류,미분류,
419,통영재래식 시장 ,통영시 중앙동 38-6,,,,,2006-03-14,통영시,미분류,미분류,
420,사천 거북선유람선 ,사천시 대방동 765-3,,,,,2006-03-14,사천시,미분류,미분류,
421,통영마리나리조트 ,통영시 도남동 645,,,,,2006-03-14,통영시,미분류,미분류,
422,삼천포남일대 ,사천시 향촌동,,,,,2006-03-14,사천시,미분류,미분류,
423,안골선착장 ,창원시 진해구 경화동 1052,,,,,2006-03-14,창원시,미분류,미분류,
424,하동 박경리소설 토지무대 ,하동군 악양면 평사리,,,,,2006-03-14,하동군,미분류,미분류,
425,윤이상거리 ,통영시 도천동 157번지 일대,,,,,2006-03-14,통영시,미분류,미분류,
426,전혁림미술관 ,통영시 봉평동 189-2,,,,,2006-03-14,통영시,미분류,미분류,
427,정취암 조망 ,산청군 신등면 양전리 78,,,,,2006-03-14,산청군,미분류,미분류,
428,전통한방휴양관광지,산청군 금서면 특리 1300-15,35.44074,127.8305,,,2006-03-14,산청군,미분류,미분류,
429,함양정병호 가옥 ,함양군 지곡면 개평리 262-1,,,,,2006-03-14,함양군,미분류,미분류,
430,사자평 ,밀양시 단장면 재약산 정상,35.51523,128.876,,,2006-03-14,밀양시,미분류,미분류,
431,고성,경남 고성군 고성읍 성내리 198,34.97334,128.3223,,,2006-03-14,고성군,미분류,미분류,
432,남해,경남 남해군 남해읍 서변리 24-1,34.83796,127.8923,,,2006-03-14,남해군,미분류,미분류,
433,하동,하동군 하동읍 읍내리 183-3 ,35.06677,127.7504,,,2006-03-14,하동군,미분류,미분류,
434,합천,경남 합천군 합천읍 합천리 337,35.56703,128.1658,,,2006-03-14,합천군,미분류,미분류,
435,산청양수발전소 ,산청군 시천면 중산리,35.30571,127.7446,,,2006-03-14,산청군,미분류,미분류,
436,가야랜드 ,김해시 삼방동 1256,,,,,2006-03-14,김해시,미분류,미분류,
437,망산도유주암 ,"창원시 진해구 용원동 산 222,223,197 용원동 앞 바다 망산도 동남쪽 70m 해상의 바위섬",,,,,2006-03-14,창원시,미분류,미분류,
438,왕지등대마을 ,남해군 설천면 왕지마을,,,,,2006-03-14,남해군,미분류,미분류,
439,문항어촌체험마을 ,남해군 설천면 문항리,,,,,2006-03-14,남해군,미분류,미분류,
440,두모(특산물)　,남해군 상주면 상주리 두모마을,,,,,2006-03-14,남해군,미분류,미분류,
441,지족갯마을(체험마을) ,남해군 삼동면 지족갯마을,,,,,2006-03-14,남해군,미분류,미분류,
442,해바리 ,남해군 창선면 지족리 신흥마을,,,,,2006-03-14,남해군,미분류,미분류,
443,냉천 ,남해군 창선면 당항리 냉천마을,,,,,2006-03-14,남해군,미분류,미분류,
444,청마생가,거제시 둔덕면 방하리,34.85476,128.5176,,,2006-03-14,거제시,미분류,미분류,
445,실리(특산품) ,거제시 거제면 법동리 실리마을,,,,,2006-03-14,거제시,미분류,미분류,
446,다포(숙박) ,거제시 남부면 다포마을,,,,,2006-03-14,거제시,미분류,미분류,
447,도장포 ,거제시 남부면 갈곶리,,,,,2006-03-14,거제시,미분류,미분류,
448,구천리(휴양림) ,거제시 동부면 구천리,,,,,2006-03-14,거제시,미분류,미분류,
449,내수면양식연구소 ,창원시 진해구 여좌동 1가 577-1,,,,,2006-03-14,창원시,미분류,미분류,
450,북원로타리(이충무공동상) ,창원시 진해구 수송동 12,,,,,2006-03-14,창원시,미분류,미분류,
451,궁류예동산천렵(숙박) ,의령군 궁류면 평촌리 예동 산천렵마을,,,,,2006-03-14,의령군,미분류,미분류,
452,경기.부산식당 ,양산시 하북면 순지리 537-2,,,,,2006-03-14,양산시,미분류,미분류,
453,의령꽃길 ,의령군 의령읍 하리에서 가례면사이 ,,,,,2006-03-14,의령군,미분류,미분류,
454,대동 화훼단지 ,"김해시 대동면 예안리와 초정리,주동리 일원",,,,,2006-03-14,김해시,미분류,미분류,
455,가동마을(특산물) ,김해시 한림면 가동리 가동마을,,,,,2006-03-14,김해시,미분류,미분류,
456,진례 도예체험 ,김해시 진례면 송정리 18-1,,,,,2006-03-14,김해시,미분류,미분류,
457,칠산참외마을 ,김해시 칠산서부동,,,,,2006-03-14,김해시,미분류,미분류,
458,옥계신도비 ,함양군 지곡면 평촌리 산32,,,,,2006-03-14,함양군,미분류,미분류,
459,허삼둘가옥 ,함양군 안의면 금천리 윤씨고가,,,,,2006-03-14,함양군,미분류,미분류,
460,청계서원 ,합천군 율곡면 내천리,,,,,2006-03-14,합천군,미분류,미분류,
461,남계서원 ,밀양시 가곡동 361,,,,,2006-03-14,밀양시,미분류,미분류,
462,삼신녹차마을 ,하동군 화개면 삼신리 삼신녹차마을,,,,,2006-03-14,하동군,미분류,미분류,
463,대축마을(특산품) ,하동군 악양면 축지리 대축마을,,,,,2006-03-14,하동군,미분류,미분류,
464,대도마을(숙박) ,하동군 금남면 대도리 대도마을,,,,,2006-03-14,하동군,미분류,미분류,
465,사기아름마을(영화촬영지) ,하동군 진교면 백련리 사기마을,,,,,2006-03-14,하동군,미분류,미분류,
466,옥종딸기마을(특산품) ,하동군 옥종면 북방리,,,,,2006-03-14,하동군,미분류,미분류,
467,홍제사 ,밀양시 무안면 무안리 903,,,,,2006-03-14,밀양시,미분류,미분류,
468,망우정 ,창녕군 도천면 우강리,,,,,2006-03-14,창녕군,미분류,미분류,
469,박진전쟁 기념관 ,창녕군 남지읍 월하리 624,,,,,2006-03-14,창녕군,미분류,미분류,
470,가오치선착장 ,통영시 도산면 가오치터미널,,,,,2006-03-14,통영시,미분류,미분류,
471,대항해수욕장 ,통영시 사량면 금평리 545-4,,,,,2006-03-14,통영시,미분류,미분류,
472,해상관광 ,통영시 앞바다 일대,,,,,2006-03-14,통영시,미분류,미분류,
473,동백섬(지심도) ,거제시 일운면 지세포리 지심도 ,,,,,2006-03-14,거제시,미분류,미분류,
474,해골바위 ,통영시 사량면 돈지리 수우도,,,,,2006-03-14,통영시,미분류,미분류,
475,매바위 ,통영시 사량면 돈지리 수우도,,,,,2006-03-14,통영시,미분류,미분류,
476,개구리섬 ,사천시 서포면 다평리,,,,,2006-03-14,사천시,미분류,미분류,
477,병풍바위 ,사천시 벌리동,,,,,2006-03-14,사천시,미분류,미분류,
478,화력발전소 ,고성군 하이면 덕호리,,,,,2006-03-14,고성군,미분류,미분류,
479,어시장 ,마산시 신포동2가 1-6,,,,,2006-03-14,창원시,미분류,미분류,
480,조두남기념관 ,마산시 신포동1가,,,,,2006-03-14,창원시,미분류,미분류,
481,위천 ,거창군 위천면,,,,,2006-03-14,거창군,미분류,미분류,
482,합천 함벽루,경상남도 합천군 합천읍 죽죽길 80,35.55983,128.1658,055-930-3176,,2006-03-03,합천군,문화관광,사찰과건축물 ,합천군
483,남명조식유적,경상남도 산청군 시천면 남명로 311,35.27382,127.8491,055-970-6421,http://nammyung.org/,2006-03-03,산청군,문화관광,사찰과건축물 ,산청군 문화관광과
484,대원사계곡,산청군 삼장면 평촌리 대원사계곡,35.35473,127.8072,055-970-6421,,2006-03-03,산청군,자연관광,산과계곡,산청군 문화관광과
485,가천암수바위와 남면해안,남해군 남면 남면로289번길,34.72656,127.894,055-860-8603,,2006-03-03,남해군,자연관광,섬과바다,남해군 문화관광과
486,(주)삼성중공업 거제조선소 ,거제시 신현읍 장평리 530,,,,,2006-03-14,거제시,미분류,미분류,
487,사운정 ,함양군 함양읍 대덕동,,,,,2006-03-14,함양군,미분류,미분류,
488,문익점목화시배지(산청) ,산청군 단성면 배양마을,,,,,2006-03-14,산청군,미분류,미분류,
489,고성 삼계마을 대가농협 ,고성군 대가면 유흥리,,,,,2006-03-14,고성군,미분류,미분류,
490,남해 송정마을 동남해농협 ,남해군 미조면 송정리 632번지 19호,,,,,2006-03-14,남해군,미분류,미분류,
491,마산 부재골마을 진전농협 ,창원시 마산합포구 진전면 평암리,,,,,2006-03-14,창원시,미분류,미분류,
492,오봉산 임경대,양산시 원동면 화제리 산72-4,35.32236,128.9769,055-392-3233,,2006-03-03,양산시,문화관광,사찰과건축물 ,양산시 문화관광과
493,사량도 옥녀봉,경상남도 통영시 사량면 금평리,34.847,128.2111,055-650-4613,,2006-03-03,통영시,자연관광,섬과바다,통영시 관광과
494,밀양 평리마을 산동농협 ,밀양시 단장면 고례리,,,,,2006-03-14,밀양시,미분류,미분류,
495,진주 가뫼골 북부농협 ,진주시 명석면 덕곡리,,,,,2006-03-14,진주시,미분류,미분류,
496,창녕 사리· 옥천마을 계성농협 ,창녕군 계성면 사리,,,,,2006-03-14,창녕군,미분류,미분류,
497,청암 청학동마을 횡천농협 ,하동군 청암면 묵계리,,,,,2006-03-14,하동군,미분류,미분류,
498,합천 대기마을 가화농협 ,합천군 가회면 중촌리,,,,,2006-03-14,합천군,미분류,미분류,
499,창녕군 우포마을 ,창녕군 대합면,,,,,2006-03-14,창녕군,미분류,미분류,
500,구천리(휴양림) ,거제시 동부면 구천리,,,,,2006-03-14,거제시,미분류,미분류,
501,남망산공원,경상남도 통영시 남망길 139,34.84121,128.4297,055-650-4613,,2006-03-03,통영시,문화관광,공원과유원지,통영시 관광과
502,달아공원,통영시 산양읍 산양일주로 1115,34.76916,128.3996,055-650-4613,,2006-03-03,통영시,문화관광,공원과유원지,통영시 관광과
503,진주 새벼리,진주시 가좌동,35.15711,128.1027,055-749-2114,,2006-03-03,진주시,자연관광,산과계곡,진주시
504,진주 뒤벼리,진주시 상대동,35.18704,128.0962,055-749-2114,,2006-03-03,진주시,자연관광,산과계곡,진주시
505,팔용산돌탑,경상남도 창원시 마산합포구 탑골1길 37,35.232,128.6035,055-225-3701,http://culture.changwon.go.kr,2006-03-03,창원시,문화관광,기념물,창원시
506,마산어시장,창원시 마산합포구 동서동 복요리로 7 일원,35.20421,128.5788,055-224-0009,http://masan.babelsoft.co.kr,2006-03-03,창원시,문화관광,문화체험장,창원시
507,국립315민주묘지,창원시 마산회원구 3·15성역로 75 (구암동),35.25279,128.5887,055-253-9315,http://315.mpva.go.kr,2006-03-03,창원시,문화관광,박물관과문화채널,국립3.15민주묘지관리소
508,창선대교타운,경상남도 남해군 창선면 동부대로2964번길 48,34.91759,128.0311,1588-3415,http://tour.namhae.go.kr/00002830/00002836/00002874.web,2006-03-03,남해군,문화관광,문화체험장,남해군
509,가야의 거리,김해시 구산동 일원 구간 : 연지교 ~ 경원교 구간 연장 : 569m,35.25321,128.8709,055-330-4441,,2006-03-03,김해시,문화관광,다리와도로,김해시 문화관광사업소 관광과
510,선유동계곡,산청군 신안면 수월로,35.36899,127.9471,055-970-6421,,2006-02-07,산청군,자연관광,산과계곡,산청군 문화관광과
511,내원사계곡,산청군 삼장면 대하내원로,35.29948,127.8104,055-970-6421,,2006-02-07,산청군,자연관광,산과계곡,산청군 문화관광과
512,주산,산청군 시천면 반천로,35.21979,127.8054,055-970-6421,,2006-02-07,산청군,자연관광,산과계곡,산청군 문화관광과
513,백운동계곡,산청군 단성면 백운로,35.2977,127.8769,055-970-6421,,2006-02-07,산청군,자연관광,산과계곡,산청군 문화관광과
514,잠도,창원시 진해구 속천로,35.1323,128.6821,055-225-3691,,2006-02-06,창원시,자연관광,섬과바다,창원시 관광진흥과
515,소쿠리섬,창원시 진해구 명제로,35.08139,128.7111,055-225-3691,,2006-02-06,창원시,자연관광,섬과바다,창원시 관광진흥과
516,구곡산,산청군 시천면,35.2766,127.7956,055-970-6421,,2006-02-07,산청군,자연관광,산과계곡,산청군 문화관광과
517,왕산/필봉산,산청군 금서면,35.4297,127.8122,055-970-6421,,2006-02-07,산청군,자연관광,산과계곡,산청군 문화관광과
518,정수산,산청군 신등면,35.423,127.9413,055-970-6421,,2006-02-07,산청군,자연관광,산과계곡,산청군 문화관광과
519,이방산/감투봉,산청군 시천면,35.30067,127.8505,055-970-6421,,2006-02-07,산청군,자연관광,산과계곡,산청군 문화관광과
520,대성산,산청군 신등면,36.21088,127.5957,055-970-6421,,2006-02-07,산청군,자연관광,산과계곡,산청군 문화관광과
521,하동 불일폭포,경남 하동군 화개면 운수리 산 46,35.2377634,127.6638688,055-880-2114,,2006-02-07,하동군,자연관광,산과계곡,하동군
522,하동 연동계곡,경상남도 하동군 화개면 범왕길 15,35.26223887,127.6341999,055-880-2114,,2006-02-07,하동군,자연관광,산과계곡,하동군
523,하동 선유동계곡,경남 하동군 화개면 대성리 534-2,35.2569216,127.6607783,055-880-2114,,2006-02-07,하동군,자연관광,산과계곡,하동군
524,꽃봉산/회계산,산청군 산청읍 웅석봉로133번길,35.40975,127.88,055-970-6421,,2006-02-07,산청군,자연관광,산과계곡,산청군 문화관광과
525,황매산,산청군 차황면 황매산로,35.4953,127.9755,055-970-6421,,2006-02-07,산청군,자연관광,산과계곡,산청군 문화관광과
526,하동 대성계곡,경남 하동군 화개면 범왕리 산 119,35.26842542,127.6483084,055-880-2114,,2006-02-07,하동군,자연관광,산과계곡,하동군
527,하동 단천계곡,하동군 화개면 화개로,35.26107,127.6576,055-880-2114,,2006-02-07,하동군,자연관광,산과계곡,하동군
528,하동 의신계곡,경남 하동군 화개면 대성리 1947,35.27785272,127.6525669,055-880-2114,,2006-02-07,하동군,자연관광,산과계곡,하동군
529,하동 청학동계곡,하동군 청암면 청학로,35.22211,127.7638,055-880-2114,,2006-02-07,하동군,자연관광,산과계곡,하동군
530,하동 화개천계곡,하동군 화개면 화개로,35.19682,127.6298,055-880-2114,,2006-02-07,하동군,자연관광,산과계곡,하동군
531,하동 이명산,하동군 북천면 가리골길,35.07015,127.8092,055-880-2114,,2006-02-07,하동군,자연관광,산과계곡,하동군
532,하동 정안봉,하동군 양보면 영계시영길,35.07885,127.8407,055-880-2114,,2006-02-07,하동군,자연관광,산과계곡,하동군
533,하동 형제봉,경상남도 하동군 화개면 부춘길 268-48,35.19354,127.6752,055-880-2114,,2006-02-07,하동군,자연관광,산과계곡,하동군
534,하동 삼신봉,경상남도 하동군 화개면 벽소령길,35.28811,127.6811,055-880-2114,,2006-02-07,하동군,자연관광,산과계곡,하동군
535,하동 금오산,경상남도 하동군 금남면 경충로 493-223,34.99254613,127.8699408,055-880-2114,,2006-02-07,하동군,자연관광,산과계곡,하동군
536,하동 옥산,하동군 옥종면 미산길,35.16861,127.8649,055-880-2114,,2006-02-07,하동군,자연관광,산과계곡,하동군
537,용유담,함양군 휴천면 세동길,35.4115,127.7115,055-960-5555,,2006-02-07,함양군,자연관광,산과계곡,함양군 문화관광과
538,유곡천,경상남도 의령군 부림면 입산로 274-2,35.47149,128.3577,055-570-2500,,2006-02-06,의령군,자연관광,강과호수,의령군 문화관광과
539,의령천,의령군 가례면 새가례로 42,35.32477,128.2449,055-570-2500,,2006-02-06,의령군,자연관광,강과호수,의령군 문화관광과
540,남강,의령군 화정면 화정로,35.36053,128.3939,055-570-2500,,2006-02-06,의령군,자연관광,강과호수,의령군 문화관광과
541,칠선계곡,함양군 마천면 칠선로,35.3899,127.6967,055-960-5555,,2006-02-07,함양군,자연관광,산과계곡,함양군 문화관광과
542,한신계곡,함양군 마천면 강청길,35.36259,127.6793,055-960-5555,,2006-02-07,함양군,자연관광,산과계곡,함양군 문화관광과
543,낙동강,양산시 일원,35.28721,129.0005,055-392-3233,,2006-02-06,양산시,자연관광,강과호수,양산시 문화관광과
544,강주연못,정촌면 강주길 26,35.11301,128.0951,055-749-5086,,2006-02-06,진주시,자연관광,강과호수,진주시 문화관광과
545,진주 남강,강남로 356-6,35.18564,128.0776,055-749-2114,,2006-02-06,진주시,자연관광,강과호수,진주시
546,진양호,경남 진주시 판문동 산 171-1,35.17503839,128.0385527,055-749-5933,,2006-02-06,진주시,자연관광,강과호수,진주시
547,남해 송정솔바람해변(송정해수욕장),경남 남해군 미조면 송정리 1134,34.72327186,128.0246869,055-860-3073,,2006-02-06,남해군,자연관광,섬과바다,남해군
548,황포해수욕장,장목면 구영리,35.02007,128.6741,055-639-3198,,2006-02-06,거제시,자연관광,섬과바다,거제시 관광과
549,화림동계곡,안의면 농월정길 9-11,35.62355,127.7793,055-960-5555,,2006-02-06,함양군,자연관광,산과계곡,함양군 문화관광과
550,용추계곡,함양군 안의면 용추휴양림길,35.69606,127.7573,055-960-5555,,2006-02-06,함양군,자연관광,산과계곡,함양군 문화관광과
551,괘관산,함양군 서하면. 병곡면,35.6051,127.6988,055-960-5555,,2006-02-06,함양군,자연관광,산과계곡,함양군 문화관광과
552,백운산,함양군 백전면 백운산길,35.60178,127.647,055-960-5555,,2006-02-06,함양군,자연관광,산과계곡,함양군 문화관광과
553,할미봉,함양군 서상면,35.73593,127.6612,055-960-5555,,2006-02-06,함양군,자연관광,산과계곡,함양군 문화관광과
554,삼봉산,함양군 마천면 천왕봉로,35.4481,127.6707,055-960-5555,,2006-02-06,함양군,자연관광,산과계곡,함양군 문화관광과
555,오봉산,함양군 함양읍 함양로,35.47979,127.6544,055-960-5555,,2006-02-06,함양군,자연관광,산과계곡,함양군 문화관광과
556,월봉산,함양군 서상면 대남리,35.72905,127.7249,055-960-5555,,2006-02-06,함양군,자연관광,산과계곡,함양군 문화관광과
557,금원산,함양군 안의면 갈촌길,35.73038,127.7609,055-960-5555,,2006-02-06,함양군,자연관광,산과계곡,함양군 문화관광과
558,거망산,함양군 서상면 갈고개길,35.68288,127.7372,055-960-5555,,2006-02-06,함양군,자연관광,산과계곡,함양군 문화관광과
559,황석산,함양군 서하면,35.65657,127.7575,055-960-5555,,2006-02-06,함양군,자연관광,산과계곡,함양군 문화관광과
560,통영 사량도 대항해수욕장,경남 통영시 사량면 금평리 545-2,34.85092209,128.212617,055-650-3620,,2006-02-06,통영시,자연관광,섬과바다,통영시
561,덕동해수욕장,덕동 덕동길,34.63534,128.2374,055-650-4613,,2006-02-06,통영시,자연관광,섬과바다,통영시 관광과
562,연대도해수욕장,산양읍 연대길 142,34.73733,128.3967,055-650-4613,,2006-02-06,통영시,자연관광,섬과바다,통영시 관광과
563,봉암해수욕장,통영시 한산면 추봉로,34.7563,128.5421,055-650-4613,,2006-02-06,통영시,자연관광,섬과바다,통영시 관광과
564,통영 비진도산호빛해변,경상남도 통영시 한산면 외항길 56,34.72123,128.4605,055-650-3600,,2006-02-06,통영시,자연관광,섬과바다,통영시
565,사량도,통영시 사량면,34.84906,128.197,055-650-4613,,2006-02-06,통영시,자연관광,섬과바다,통영시 관광과
566,수우도,통영시 사량면 수우도길,34.83039,128.1335,055-650-4613,,2006-02-06,통영시,자연관광,섬과바다,통영시 관광과
567,논개도,통영시 사량면 일대,34.83569,128.1588,055-650-4613,,2006-02-06,통영시,자연관광,섬과바다,통영시 관광과
568,홍도,통영시 한산면 장사도길,34.71432,128.5583,055-650-4613,,2006-02-06,통영시,자연관광,섬과바다,통영시 관광과
569,추봉도,통영시 한산면 추봉로,34.7563,128.5421,055-650-4613,,2006-02-06,통영시,자연관광,섬과바다,통영시 관광과
570,죽도,통영시 한산면 장사도길,34.71432,128.5583,055-650-4613,,2006-02-06,통영시,자연관광,섬과바다,통영시 관광과
571,통영 장사도 해상공원,통영시 한산면 장사도길,34.71432,128.5583,055-633-0362,http://jangsado.co.kr/,2006-02-06,통영시,자연관광,섬과바다,장사도 해상공원
572,용초도,통영시 한산면 용초1길,34.74498,128.4836,055-650-4613,,2006-02-06,통영시,자연관광,섬과바다,통영시 관광과
573,비진도,통영시 한산면 비진도길,34.72118,128.4582,055-650-4613,http://www.uram.co.kr/new/center.php,2006-02-06,통영시,자연관광,섬과바다,통영시 관광과
574,매물도,통영시 한산면,34.6404,128.5724,055-650-4613,http://www.uram.co.kr/new/center.php,2006-02-06,통영시,자연관광,섬과바다,통영시 관광과
575,등대섬,경상남도 통영시 한산면 소매물도길 24,34.61936,128.5471,055-650-4613,,2006-02-06,통영시,자연관광,섬과바다,통영시 관광과
576,기백산,함양군 안의면 상원리,35.70918,127.7852,055-960-5555,,2006-02-06,함양군,자연관광,산과계곡,함양군 문화관광과
577,남덕유산,함양군 서상면,35.76822,127.6792,055-960-5555,,2006-02-06,함양군,자연관광,산과계곡,함양군 문화관광과
578,통영 수륙해수욕장,경상남도 통영시 산양읍 삼칭이해안길 220,34.81990622,128.439371,055-650-0830,,2006-02-06,통영시,자연관광,섬과바다,통영시
579,좌사리도,통영시 욕지면 내초도길,34.62218,128.3057,055-650-4613,,2006-02-06,통영시,자연관광,섬과바다,통영시 관광과
580,우도,통영시 욕지면 동두길,34.65899,128.3463,055-650-4613,,2006-02-06,통영시,자연관광,섬과바다,통영시 관광과
581,욕지도,통영시 욕지면,34.63599,128.2495,055-650-4613,,2006-02-06,통영시,자연관광,섬과바다,통영시 관광과
582,연화도,통영시 욕지면,34.64536,128.3596,055-650-4613,http://www.yokjishipping.co.kr,2006-02-06,통영시,자연관광,섬과바다,통영시 관광과
583,대방진굴항,경남 사천시 대방동 251,34.92905,128.0568,055-831-2728,,2006-02-06,사천시,자연관광,섬과바다,사천시 관광진흥과
584,사천 남일대해수욕장,경상남도 사천시 남일대길 59,34.92664,128.0964,055-831-3136,,2006-02-06,사천시,자연관광,섬과바다,사천시
585,한려수도,사천 앞 바다 일원,34.92492,128.0452,055-831-2728,,2006-02-06,사천시,자연관광,섬과바다,사천시 관광진흥과
586,수치해안,창원시 진해구 명제로,35.10604,128.7035,055-225-3691,,2006-02-06,창원시,자연관광,섬과바다,창원시 관광진흥과
