"번호","개방서비스명","개방서비스ID","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(X)","좌표정보(Y)","위생업태명","건물지상층수","건물지하층수","사용시작지상층","사용끝지상층","사용시작지하층","사용끝지하층","한실수","양실수","욕실수","발한실여부","좌석수","조건부허가신고사유","조건부허가시작일자","조건부허가종료일자","건물소유구분명","세탁기수","여성종사자수","남성종사자수","회수건조수","침대수","다중이용업소여부",""
"1057","숙박업","03_11_03_P","5350000","5350000-201-2019-00002","20190820","","01","영업/정상","01","영업","","","","","","1118","621280","경상남도 김해시 대청동 68-1 마이다스빌딩","경상남도 김해시 번화1로 72, 마이다스빌딩 6,7층 (대청동)","50989","호텔류","20220118150949","U","2022-01-20","숙박업 기타","128.800079903835","35.1939240545787","숙박업 기타","0","0","6","7","0","0","3","27","0","N","0","","","","","0","0","0","0","0","N","4825062000"
"1058","숙박업","03_11_03_P","5350000","5350000-201-2001-00042","20010827","","01","영업/정상","01","영업","","","","","055 3370773","320","621916","경상남도 김해시 어방동 1097-1","경상남도 김해시 김해대로2529번길 72-4 (어방동)","50930","더 스테이(The stay)","20220114143748","U","2022-01-16","여관업","128.902825783058","35.234720074937","여관업","0","0","0","0","0","0","0","18","0","N","0","","","","","0","0","0","0","0","N","4825058000"
"1059","숙박업","03_11_03_P","5350000","5350000-201-2003-00001","20030103","","01","영업/정상","01","영업","","","","","055 3390040","2099","621907","경상남도 김해시 부원동 849-1번지","경상남도 김해시 가락로50번길 8-1 (부원동)","50921","클라우드 나인(9)호텔","20190925114200","U","2019-09-27","일반호텔","128.88288238954","35.2308874236519","일반호텔","0","0","0","0","0","0","0","54","0","N","0","","","","","0","","","0","0","N","4825053000"
"1060","숙박업","03_11_03_P","5350000","5350000-201-2022-00001","20220308","","01","영업/정상","01","영업","","","","","055551 0972","3782","621881","경상남도 김해시 진례면 담안리 1522-8","경상남도 김해시 진례면 테크노밸리로 17-4, 3~10층","50875","동원 J-star 비즈니스 호텔","20220308174005","I","2022-03-10","여관업","","","여관업","10","0","0","0","0","0","0","79","0","N","0","","","","","0","0","0","0","0","N",""
"1061","숙박업","03_11_03_P","5350000","5350000-201-2020-00001","20200331","","01","영업/정상","01","영업","","","","","","1349","621809","경상남도 김해시 진영읍 진영리 1614-9번지","경상남도 김해시 진영읍 김해대로361번길 2, 7층","50862","호텔 그랜드","20200403164531","U","2020-04-05","여관업","128.729837393267","35.3070083309883","여관업","0","0","0","0","0","0","0","29","0","N","0","","","","","0","0","0","0","0","N","4825025000"
"1062","숙박업","03_11_03_P","5350000","5350000-201-2002-00017","20020611","","01","영업/정상","01","영업","","","","","055 3330580","574","621909","경상남도 김해시 삼방동 180-3번지","경상남도 김해시 활천로255번길 6-14 (삼방동)","50818","글로리모텔","20180219144930","I","2018-08-31","여관업","128.907936123417","35.2431521428096","여관업","0","0","0","0","0","0","0","25","0","N","0","","","","","0","","","0","0","N","4825059000"
"1063","숙박업","03_11_03_P","5350000","5350000-201-2002-00022","20020917","","01","영업/정상","01","영업","","","","","055 3276918","388","621907","경상남도 김해시 부원동 614-23","경상남도 김해시 김해대로 2357-23 (부원동)","50925","꿈의궁전","20210208093605","U","2021-02-10","여관업","128.884466169514","35.2276156196553","여관업","0","0","1","4","0","0","4","13","0","N","0","","","","","0","","","0","0","N","4825053000"
"1064","숙박업","03_11_03_P","5350000","5350000-201-2000-00075","20000316","","01","영업/정상","01","영업","","","","","055 3431727","688","621873","경상남도 김해시 한림면 신천리 178-7번지","경상남도 김해시 한림면 김해대로 1577-14","50853","서정장여관","20180625100658","I","2018-08-31","여관업","128.844241600096","35.2756010156536","여관업","0","0","2","2","0","0","0","22","0","N","0","","","","","0","","","0","0","N","4825034000"
"1065","숙박업","03_11_03_P","5350000","5350000-201-2000-00109","20000501","","01","영업/정상","01","영업","","","","","055 3347657","265","621907","경상남도 김해시 부원동 604-7번지","경상남도 김해시 가락로 11-1 (부원동)","50926","우신장여관","20190128100919","U","2019-01-30","여관업","128.882374335359","35.2275946470151","여관업","0","0","0","0","0","0","0","11","0","N","0","","","","","0","","","0","0","N","4825053000"
"1066","숙박업","03_11_03_P","5350000","5350000-201-2000-00019","20000316","","01","영업/정상","01","영업","","","","","055 3331272","297","621907","경상남도 김해시 부원동 604-29","경상남도 김해시 가락로7번길 6 (부원동)","50926","도곡장여관","20210514113301","U","2021-05-16","여관업","128.881972905175","35.2272947580891","여관업","0","0","0","0","0","0","0","13","0","N","0","","","","","0","","","0","0","N","4825053000"
"1067","숙박업","03_11_03_P","5350000","5350000-201-2000-00113","20000401","","01","영업/정상","01","영업","","","","","055 3346460","268","621020","경상남도 김해시 동상동 1018-6","경상남도 김해시 분성로336번길 5-12 (동상동)","50921","별장여관","20200701130333","U","2020-07-03","여관업","128.883213266205","35.2330137567824","여관업","0","0","0","0","0","0","0","14","0","N","0","","","","","0","","","0","0","N","4825051000"
"1068","숙박업","03_11_03_P","5350000","5350000-201-2000-00050","20000316","","01","영업/정상","01","영업","","","","","055 3420663","370","621806","경상남도 김해시 진영읍 여래리 711-26","경상남도 김해시 진영읍 진영로 215-1","50868","대명장여관","20200824172503","U","2020-08-26","여관업","128.736600338072","35.3027632460119","여관업","0","0","0","0","0","0","0","15","0","N","0","","","","","0","","","0","0","N","4825025000"
"1069","숙박업","03_11_03_P","5350000","5350000-201-2000-00066","20000316","","01","영업/정상","01","영업","","","","","","860","621801","경상남도 김해시 진영읍 죽곡리 164","경상남도 김해시 진영읍 서부로179번길 23","50870","꿈의궁전","20211102154839","U","2021-11-04","여관업","128.770029213887","35.2833377733206","여관업","0","0","0","0","0","0","0","29","0","N","0","","","","","0","","","0","0","N","4825025000"
"1070","숙박업","03_11_03_P","5350000","5350000-201-2003-00021","20030818","","01","영업/정상","01","영업","","","","","055 3317177","462","621070","경상남도 김해시 삼계동 1461-6","경상남도 김해시 해반천로144번길 35-26 (삼계동)","50901","카카오모텔","20211112133255","U","2021-11-14","여관업","128.871237366752","35.2625243718914","여관업","10","1","5","7","0","0","0","16","0","N","0","","","","임대","0","","","0","0","N","4825055000"
"1071","숙박업","03_11_03_P","5350000","5350000-201-2004-00004","20040220","","01","영업/정상","01","영업","","","","","055 3440016","1115","621801","경상남도 김해시 진영읍 설창리 555-11번지","경상남도 김해시 진영읍 김해대로 780","50869","와우(WOW)호텔","20180820123634","I","2018-08-31","일반호텔","128.769085259098","35.2961170303957","일반호텔","5","1","1","5","1","1","0","23","0","N","0","","","","자가","0","","","0","0","N","4825025000"
"1072","숙박업","03_11_03_P","5350000","5350000-201-2001-00004","20010330","","01","영업/정상","01","영업","","","","","055 3223882","694","621917","경상남도 김해시 어방동 522-7번지","경상남도 김해시 인제로170번길 15-24 (어방동)","50819","원자연황토방모텔","20180219143917","I","2018-08-31","여관업","128.905707687223","35.2449947597562","여관업","0","0","0","0","0","0","0","26","0","N","0","","","","","0","","","0","0","N","4825058000"
"1073","숙박업","03_11_03_P","5350000","5350000-201-2004-00011","20040820","","01","영업/정상","01","영업","","","","","055 3130171","1541","621280","경상남도 김해시 대청동 56-7번지 르네상스빌딩 501,601,701호","경상남도 김해시 번화1로 73, 501,601,701호 (대청리,르네상스빌딩)","50988","폴리엠모텔","20180806104149","I","2018-08-31","여관업","","","여관업","0","0","5","7","0","0","3","35","0","N","0","","","","","0","","","0","0","N",""
"1074","숙박업","03_11_03_P","5350000","5350000-201-2000-00023","20000316","","01","영업/정상","01","영업","","","","","055 3321688","432","621030","경상남도 김해시 서상동 332-6번지","경상남도 김해시 가락로63번길 26-6 (서상동)","50920","테라스모텔","20180619212351","I","2018-08-31","여관업","128.878944912238","35.2320885378761","여관업","0","0","1","3","0","0","0","15","0","N","0","","","","","0","","","0","0","N","4825052000"
"1075","숙박업","03_11_03_P","5350000","5350000-201-2000-00038","20000316","","01","영업/정상","01","영업","","","","","005503381215","411","621907","경상남도 김해시 부원동 610-10번지 4,5층","경상남도 김해시 가락로 34-19 (부원동, 4,5층)","50925","힐탑모텔","20180620180614","I","2018-08-31","여관업","128.883264204684","35.2296917374746","여관업","0","0","4","5","0","0","3","24","0","N","0","","","","","0","","","0","0","N","4825053000"
"1076","숙박업","03_11_03_P","5350000","5350000-201-2000-00079","20000316","","01","영업/정상","01","영업","","","","","055 3370067","1045","621820","경상남도 김해시 생림면 25 A동","경상남도 김해시 생림면 인제로 545-20, A동","50802","덴바스타 랜드","20220518143831","U","2022-05-20","여관업","128.889180178056","35.2756468032273","여관업","0","0","1","3","0","0","0","27","0","N","0","","","","","0","0","0","0","0","N","4825035000"
"1077","숙박업","03_11_03_P","5350000","5350000-201-2003-00029","20031210","","01","영업/정상","01","영업","","","","","055 3370069","980","621821","경상남도 김해시 생림면 나전리 25 B동","경상남도 김해시 생림면 인제로 545-20, B동","50802","덴바스타 랜드","20220518150023","U","2022-05-20","여관업","128.889180178056","35.2756468032273","여관업","4","0","1","3","0","0","5","22","0","N","0","","","","임대","0","0","0","0","0","N","4825035000"
"1078","숙박업","03_11_03_P","5350000","5350000-201-2000-00052","20000316","","01","영업/정상","01","영업","","","","","055 3433763","666","621806","경상남도 김해시 진영읍 여래리 711-11번지","경상남도 김해시 진영읍 진영로 211","50868","신라여관","20180629164010","I","2018-08-31","여관업","128.736253208538","35.3027290292645","여관업","0","0","0","0","0","0","0","18","0","N","0","","","","","0","","","0","0","N","4825025000"
"1079","숙박업","03_11_03_P","5350000","5350000-201-2007-00001","20070316","","01","영업/정상","01","영업","","","","","055 3263030","769","621916","경상남도 김해시 어방동 1095-14번지","경상남도 김해시 분성로529번길 6 (어방동)","50844","파라오장여관","20190925111942","U","2019-09-27","여관업","128.904061559275","35.2361341427438","여관업","0","0","0","0","0","0","4","25","0","N","0","","","","","0","","","0","0","N","4825058000"
"1080","숙박업","03_11_03_P","5350000","5350000-201-2000-00137","20001001","","01","영업/정상","01","영업","","","","","055 3339777","649","621907","경상남도 김해시 부원동 852-1번지","경상남도 김해시 가락로38번길 7-6 (부원동)","50921","크로바모텔","20180705172652","I","2018-08-31","여관업","128.883068617481","35.2302961420739","여관업","4","1","1","3","0","0","0","23","0","N","0","","","","임대","0","","","0","0","N","4825053000"
"1081","숙박업","03_11_03_P","5350000","5350000-201-2000-00166","20000316","","01","영업/정상","01","영업","","","","","055 3433393","149","621806","경상남도 김해시 진영읍 여래리 700-83번지","경상남도 김해시 진영읍 진영로 175-6","50867","진주여인숙","20180627164133","I","2018-08-31","여인숙업","128.732760952707","35.3034807136281","여인숙업","0","0","0","0","0","0","0","10","0","N","0","","","","","0","","","0","0","N","4825025000"
"1082","숙박업","03_11_03_P","5350000","5350000-201-2000-00141","20001026","","01","영업/정상","01","영업","","","","","055 3362131","383","621030","경상남도 김해시 서상동 25-18번지","경상남도 김해시 가락로94번길 5-11 (서상동)","50915","부광장여관","20190102100911","U","2019-01-04","여관업","128.88171725486","35.2354601361812","여관업","0","0","2","3","0","0","0","15","0","N","0","","","","","0","","","0","0","N","4825052000"
"1083","숙박업","03_11_03_P","5350000","5350000-201-2000-00128","20000801","","01","영업/정상","01","영업","","","","","055 3456707","934","621872","경상남도 김해시 한림면 명동리 995-1","경상남도 김해시 한림면 김해대로 1216-10","50851","비너스모텔","20220310171025","U","2022-03-12","여관업","128.811705584366","35.2903412314556","여관업","0","0","0","0","0","0","0","24","0","N","0","","","","","0","0","0","0","0","N","4825034000"
"1084","숙박업","03_11_03_P","5350000","5350000-214-2000-00002","20000316","","01","영업/정상","01","영업","","","","","055 3362805","267","621907","경상남도 김해시 부원동 861-4번지","경상남도 김해시 분성로318번길 38 (부원동)","50920","한울빌","20180705172549","I","2018-08-31","숙박업(생활)","128.881145375612","35.2301640228167","숙박업(생활)","0","0","0","0","0","0","0","13","0","N","0","","","","","0","","","0","0","N","4825053000"
"1085","숙박업","03_11_03_P","5350000","5350000-201-2000-00146","20001017","","01","영업/정상","01","영업","","","","","055 3366021","748","621916","경상남도 김해시 어방동 1092-13번지","경상남도 김해시 분성로517번길 7 (어방동)","50844","N모텔","20190925112132","U","2019-09-27","여관업","128.902267202294","35.2361708375557","여관업","0","0","0","0","0","0","0","26","0","N","0","","","","","0","","","0","0","N","4825058000"
"1086","숙박업","03_11_03_P","5350000","5350000-201-2000-00130","20000703","","01","영업/정상","01","영업","","","","","055 3343077","733","621906","경상남도 김해시 부원동 773","경상남도 김해시 분성로336번길 25 (부원동)","50921","이브모텔","20211231130754","U","2022-01-02","여관업","128.883484361344","35.2314470633162","여관업","0","0","1","4","0","0","0","23","0","N","0","","","","","0","0","0","0","0","N","4825053000"
"1087","숙박업","03_11_03_P","5350000","5350000-201-2001-00022","20010528","","01","영업/정상","01","영업","","","","","055 3257967","681","621917","경상남도 김해시 어방동 521-9번지","경상남도 김해시 활천로255번길 41-17 (어방동)","50819","1004모텔","20180219144244","I","2018-08-31","여관업","128.905057256874","35.2457740697887","여관업","0","0","0","0","0","0","0","28","0","N","0","","","","","0","","","0","0","N","4825058000"
"1088","숙박업","03_11_03_P","5350000","5350000-214-2017-00001","20170207","","01","영업/정상","01","영업","","","","","051 341 8989","562","621916","경상남도 김해시 어방동 1095-13번지","경상남도 김해시 인제로 89, 3,4층 (어방동)","50844","인제 프라임빌","20200213102919","U","2020-02-15","숙박업(생활)","","","숙박업(생활)","0","0","3","4","0","0","0","18","0","N","0","","","","","0","0","0","0","0","N",""
"1089","숙박업","03_11_03_P","5350000","5350000-201-2000-00160","20000316","","01","영업/정상","01","영업","","","","","055 3363303","77","621907","경상남도 김해시 부원동 800-1번지","경상남도 김해시 가락로64번길 6-3 (부원동)","50921","은성여인숙","20180620180022","I","2018-08-31","여인숙업","128.882567024524","35.2321501142293","여인숙업","0","0","0","0","0","0","0","8","0","N","0","","","","","0","","","0","0","N","4825053000"
"1090","숙박업","03_11_03_P","5350000","5350000-201-2003-00025","20030924","","01","영업/정상","01","영업","","","","","055 3386831","1339","621916","경상남도 김해시 어방동 1097-6번지","경상남도 김해시 김해대로2529번길 72-22 (어방동)","50930","넘버25호텔(NUMBER25 HOTEL)","20180627144748","I","2018-08-31","여관업","128.903743765983","35.2347795320089","여관업","7","0","2","6","0","0","5","30","0","N","0","","","","자가","0","","","0","0","N","4825058000"
"1091","숙박업","03_11_03_P","5350000","5350000-201-2000-00120","20000116","","01","영업/정상","01","영업","","","","","055 3452355","1009","621801","경상남도 김해시 진영읍 죽곡리 442-2번지","경상남도 김해시 진영읍 서부로 108","50870","그레이70호텔","20191105092658","U","2019-11-07","여관업","128.765121652418","35.2869808589378","여관업","0","0","0","0","0","0","0","28","0","N","0","","","","","0","","","0","0","N","4825025000"
"1092","숙박업","03_11_03_P","5350000","5350000-201-2000-00135","20000904","","01","영업/정상","01","영업","","","","","055 3431449","586","621873","경상남도 김해시 한림면 신천리 366번지","경상남도 김해시 한림면 용덕로 7","50853","수림장여관","20200103102255","U","2020-01-05","여관업","128.833870078498","35.2779769102685","여관업","0","0","2","4","0","0","0","22","0","N","0","","","","","0","","","0","0","N","4825034000"
"1093","숙박업","03_11_03_P","5350000","5350000-201-2000-00103","20000106","","01","영업/정상","01","영업","","","","","055 3430017","521","621873","경상남도 김해시 한림면 신천리 255-2번지","경상남도 김해시 한림면 김해대로 1509","50853","동궁장여관","20180219142432","I","2018-08-31","여관업","128.837289605588","35.2776785343327","여관업","0","0","0","0","0","0","0","19","0","N","0","","","","","0","","","0","0","N","4825034000"
"1094","숙박업","03_11_03_P","5350000","5350000-201-2004-00001","20040114","","01","영업/정상","01","영업","","","","","055 3128663","2085","621280","경상남도 김해시 대청동 56-10","경상남도 김해시 번화1로67번길 8 (대청동)","50988","브라운도트호텔(BROWN-DOT HOTEL)","20210326134613","U","2021-03-28","여관업","128.799057534157","35.1933340931104","여관업","6","1","1","6","0","0","0","48","0","N","0","","","","자가","0","","","0","0","N","4825062000"
"1095","숙박업","03_11_03_P","5350000","5350000-201-2000-00122","20000316","","01","영업/정상","01","영업","","","","","055 327 6610","691","621903","경상남도 김해시 내동 1119-1번지 7층","경상남도 김해시 내외중앙로 75 (내동, 7층)","50948","뉴퀸모텔","20180625095809","I","2018-08-31","여관업","128.866754383823","35.2367999172382","여관업","0","0","7","7","0","0","0","21","0","N","0","","","","","0","","","0","0","N","4825054000"
"1096","숙박업","03_11_03_P","5350000","5350000-201-2015-00007","20150911","","01","영업/정상","01","영업","","","","","","2210","621280","경상남도 김해시 대청동 56-9번지","경상남도 김해시 번화1로67번길 6 (대청동)","50988","모텔 9 나인","20180525173138","I","2018-08-31","숙박업 기타","128.79934163085","35.1934425215361","숙박업 기타","9","0","3","0","9","0","0","35","0","N","0","","","","자가","0","0","0","0","0","N","4825062000"
"1097","숙박업","03_11_03_P","5350000","5350000-201-2015-00002","20150309","","01","영업/정상","01","영업","","","","","055 314 6633","1603","621917","경상남도 김해시 어방동 532-2번지","경상남도 김해시 활천로237번길 12 (어방동)","50819","호텔스테이 24/7","20190925111754","U","2019-09-27","여관업","128.905691431312","35.2434929303725","여관업","0","0","0","0","0","0","0","35","0","N","0","","","","","0","0","0","0","0","N","4825058000"
"1098","숙박업","03_11_03_P","5350000","5350000-201-2000-00105","20000401","","01","영업/정상","01","영업","","","","","055 3237797","295","621922","경상남도 김해시 외동 1255-6번지","경상남도 김해시 내외중앙로 39 (외동)","50948","키위모텔","20180625100343","I","2018-08-31","여관업","128.866113224284","35.2335055141502","여관업","0","0","6","6","0","0","0","15","0","N","0","","","","","0","","","0","0","N","4825054000"
"1099","숙박업","03_11_03_P","5350000","5350000-201-2007-00004","20070629","","01","영업/정상","01","영업","","","","","055 328 9392","556","621903","경상남도 김해시 내동 1120-5번지","경상남도 김해시 내외로77번길 16 (내동)","50948","에스모텔","20180702103835","I","2018-08-31","관광호텔","128.86617783945","35.2360237867854","관광호텔","0","0","5","5","0","0","0","21","0","N","0","","","","","0","","","0","0","N","4825054000"
"1100","숙박업","03_11_03_P","5350000","5350000-201-2002-00029","20020228","","01","영업/정상","01","영업","","","","","055 3451547","440","621873","경상남도 김해시 한림면 퇴래리 1184-4번지","경상남도 김해시 한림면 김해대로 976","50850","B모텔","20180625100754","I","2018-08-31","여관업","128.790050925581","35.2918324030914","여관업","4","1","2","3","0","0","8","10","0","N","0","","","","자가","0","","","0","0","N","4825034000"
"1101","숙박업","03_11_03_P","5350000","5350000-201-2000-00143","20001024","","01","영업/정상","01","영업","","","","","055 3295587","822","621916","경상남도 김해시 어방동 1094-9번지","경상남도 김해시 분성로529번길 7 (어방동)","50844","모텔맥","20190925112001","U","2019-09-27","여관업","128.90370233398","35.2362541550008","여관업","0","0","0","0","0","0","0","33","0","N","0","","","","","0","","","0","0","N","4825058000"
"1102","숙박업","03_11_03_P","5350000","5350000-201-2000-00158","20000316","","01","영업/정상","01","영업","","","","","055 3225472","156","621030","경상남도 김해시 서상동 129-7번지","경상남도 김해시 가락로 72-10 (서상동)","50921","신광여인숙","20180614170010","I","2018-08-31","여인숙업","128.88213017988","35.2330328615538","여인숙업","0","0","1","2","0","0","0","3","0","N","0","","","","","0","","","0","0","N","4825052000"
"1103","숙박업","03_11_03_P","5350000","5350000-201-2001-00009","20010423","","01","영업/정상","01","영업","","","","","055 3260991","794","621916","경상남도 김해시 어방동 1095-4번지","경상남도 김해시 분성로529번길 4 (어방동)","50844","자연황토방모텔","20190925111900","U","2019-09-27","여관업","128.904100547594","35.235870835066","여관업","0","0","0","0","0","0","0","33","0","N","0","","","","","0","","","0","0","N","4825058000"
"1104","숙박업","03_11_03_P","5350000","5350000-201-2014-00004","20140630","","01","영업/정상","01","영업","","","","","055 340 1400","389","621873","경상남도 김해시 한림면 병동리 산 130-1번지","경상남도 김해시 한림면 김해대로974번길 198","50850","공무원연금관리공단 김해상록골프장","20200214155623","U","2020-02-16","여관업","128.797406595199","35.2763222711031","여관업","0","0","2","2","0","0","8","0","0","N","0","","","","","0","","","0","0","N","4825034000"
"1105","숙박업","03_11_03_P","5350000","5350000-201-2014-00009","20141217","","01","영업/정상","01","영업","","","","","055 329 7600","2229","621280","경상남도 김해시 대청동 318-5","경상남도 김해시 번화2로 61-1 (대청동)","51004","MU호텔","20210719142001","U","2021-07-21","여관업","128.803337761333","35.1939787578365","여관업","8","0","0","0","0","0","0","41","0","N","0","","","","","0","0","0","0","0","N","4825062000"
"1106","숙박업","03_11_03_P","5350000","5350000-201-2000-00065","20000316","","01","영업/정상","01","영업","","","","","055 3425585","481","621801","경상남도 김해시 진영읍 내룡리 75-4","경상남도 김해시 진영읍 서부로 72","50869","로즈-인","20210910144628","U","2021-09-12","여관업","128.763244987063","35.290019227701","여관업","0","0","0","0","0","0","0","16","0","N","0","","","","","0","","","0","0","N","4825025000"
"1107","숙박업","03_11_03_P","5350000","5350000-201-2012-00006","20121204","","01","영업/정상","01","영업","","","","","055 337 6090","1999","621907","경상남도 김해시 부원동 607-4번지","경상남도 김해시 가락로16번길 6 (부원동)","50925","휴호텔","20180814140755","I","2018-08-31","여관업","128.883267632611","35.2277874798789","여관업","9","0","1","9","0","0","0","40","0","N","0","","","","","0","","","0","0","N","4825053000"
"1108","숙박업","03_11_03_P","5350000","5350000-201-2002-00027","20020719","","01","영업/정상","01","영업","","","","","055 3393071","1308","621070","경상남도 김해시 삼계동 1506-6","경상남도 김해시 삼계로55번길 16 (삼계동)","50902","엠모텔","20210201110334","U","2021-02-03","여관업","128.871652467654","35.259046322614","여관업","0","0","0","0","0","0","0","33","0","N","0","","","","","0","","","0","0","N","4825055000"
"1109","숙박업","03_11_03_P","5350000","5350000-201-2017-00001","20170126","","01","영업/정상","01","영업","","","","","055 323 1100","2223","621842","경상남도 김해시 주촌면 농소리 635-7번지","경상남도 김해시 주촌면 골든루트로 39-3","50969","골든루트호텔","20180622142258","I","2018-08-31","일반호텔","128.828878266339","35.2103781775061","일반호텔","9","0","0","0","0","0","0","31","0","N","0","","","","자가","0","0","0","0","0","N","4825032000"
"1110","숙박업","03_11_03_P","5350000","5350000-201-2017-00002","20170126","","01","영업/정상","01","영업","","","","","005503127736","2184","621842","경상남도 김해시 주촌면 농소리 635-9","경상남도 김해시 주촌면 골든루트로 39-1","50969","호텔101","20200630135504","U","2020-07-02","일반호텔","128.82902920466","35.2102978530814","일반호텔","9","0","0","0","0","0","0","30","0","N","0","","","","","0","0","0","0","0","N","4825032000"
"1111","숙박업","03_11_03_P","5350000","5350000-201-2001-00011","20010613","","01","영업/정상","01","영업","","","","","055 3259881","872","621916","경상남도 김해시 어방동 1092-3","경상남도 김해시 분성로511번길 8 (어방동)","50844","69모텔","20220608101717","U","2022-06-10","여관업","128.902008809598","35.2361451606916","여관업","0","0","0","0","0","0","0","28","0","N","0","","","","","0","","","0","0","N","4825058000"
"1112","숙박업","03_11_03_P","5350000","5350000-201-2002-00021","20020827","","01","영업/정상","01","영업","","","","","055 3121008","1548","621909","경상남도 김해시 삼방동 182-8번지","경상남도 김해시 활천로267번길 16-8 (삼방동)","50818","투어 호텔","20190722143151","U","2019-07-24","여관업","128.908933316798","35.2442011555935","여관업","0","0","0","0","0","0","0","36","0","N","0","","","","","0","","","0","0","N","4825059000"
"1113","숙박업","03_11_03_P","5350000","5350000-201-2009-00003","20091015","","01","영업/정상","01","영업","","","","","055 3261616","1386","621916","경상남도 김해시 어방동 1098-13번지","경상남도 김해시 김해대로2529번길 72-9 (어방동)","50930","브이호텔","20190708160630","U","2019-07-10","여관업","128.903086160582","35.2350565361922","여관업","7","0","2","6","0","0","0","35","0","N","0","","","","자가","0","","","0","0","N","4825058000"
"1114","숙박업","03_11_03_P","5350000","5350000-201-2002-00020","20020802","","01","영업/정상","01","영업","","","","","055 3278252","1961","621917","경상남도 김해시 어방동 998-33번지","경상남도 김해시 활천로237번길 8-14 (어방동)","50819","브이브이아이피호텔","20180917125147","U","2018-09-17","여관업","128.906138679786","35.2429649130123","여관업","0","0","0","0","0","0","0","42","0","N","0","","","","","0","","","0","0","N","4825058000"
"1115","숙박업","03_11_03_P","5350000","5350000-201-2012-00001","20120209","","01","영업/정상","01","영업","","","","","055 312 1800","1994","621280","경상남도 김해시 대청동 318-12","경상남도 김해시 번화1로56번길 25 (대청동)","51004","Rhea hotel(레아호텔)","20220411155331","U","2022-04-13","여관업","128.803008621326","35.1936158790303","여관업","8","0","1","8","0","0","0","38","0","N","0","","","","자가","0","","","0","0","N","4825062000"
"1116","숙박업","03_11_03_P","5350000","5350000-201-2000-00101","20000316","","01","영업/정상","01","영업","","","","","055 3356615","992","621917","경상남도 김해시 어방동 529-9번지","경상남도 김해시 인제로170번길 9-17 (어방동)","50819","텐모텔","20190925111727","U","2019-09-27","여관업","128.904860562649","35.2445507521388","여관업","0","0","0","0","0","0","0","29","0","N","0","","","","","0","","","0","0","N","4825058000"
"1117","숙박업","03_11_03_P","5350000","5350000-201-2012-00003","20120510","","01","영업/정상","01","영업","","","","","055 328 4300","1991","621917","경상남도 김해시 어방동 530-7번지","경상남도 김해시 인제로170번길 15-7 (어방동)","50819","K2모텔","20180511133209","I","2018-08-31","여관업","128.905510365991","35.2442284410161","여관업","9","0","1","9","0","0","0","35","0","N","0","","","","","0","","","0","0","N","4825058000"
"1118","숙박업","03_11_03_P","5350000","5350000-201-2014-00003","20140411","","01","영업/정상","01","영업","","","","","055 329 9000","9235","621010","경상남도 김해시 부원동 . 부원역세권지구A-4블럭","경상남도 김해시 김해대로 2360 (부원동)","50940","고려개발(주) 아이스퀘어호텔","20210128110157","U","2021-01-30","관광호텔","128.885084230662","35.2260231515792","관광호텔","0","0","5","15","0","0","0","181","0","N","0","","","","","0","","","0","0","N","4825053000"
"1119","숙박업","03_11_03_P","5350000","5350000-201-2003-00031","20031223","","01","영업/정상","01","영업","","","","","055 3129469","1402","621280","경상남도 김해시 대청동 68-10번지 장안프라자 4,5,6층","경상남도 김해시 번화1로68번길 7, 4,5,6층 (대청리,장안프라자)","50989","이프(if)모텔","20181031095854","U","2018-11-02","여관업","","","여관업","8","1","4","6","0","0","5","30","0","N","0","","","","자가","0","","","0","0","N",""
"1120","숙박업","03_11_03_P","5350000","5350000-201-2015-00006","20150902","","01","영업/정상","01","영업","","","","","055 313 1770","2155","621917","경상남도 김해시 어방동 532-6번지","경상남도 김해시 인제로170번길 22-2 (어방동)","50819","까르페호텔","20190918163122","U","2019-09-20","일반호텔","128.906140295588","35.2434844173803","일반호텔","0","0","0","0","0","0","0","40","0","N","0","","","","","0","0","0","0","0","N","4825058000"
"1121","숙박업","03_11_03_P","5350000","5350000-201-2006-00003","20060710","","01","영업/정상","01","영업","","","","","055 3261888","774","621907","경상남도 김해시 부원동 608-23","경상남도 김해시 가락로24번길 8-1 (부원동)","50925","포레스트 701 호텔","20201109104904","U","2020-11-11","여관업","128.88333072175","35.2283311743662","여관업","0","0","0","0","0","0","3","24","0","N","0","","","","","0","","","0","0","N","4825053000"
"1122","숙박업","03_11_03_P","5350000","5350000-201-2000-00076","20000316","","01","영업/정상","01","영업","","","","","055 3381080","959","621916","경상남도 김해시 어방동 1099-11번지","경상남도 김해시 김해대로2529번길 71 (어방동)","50930","(G)지박스모텔","20190925114621","U","2019-09-27","여관업","128.90240850822","35.2348469439768","여관업","0","0","0","0","0","0","0","27","0","N","0","","","","","0","","","0","0","N","4825058000"
